2013,17,Vitoria,10,8,20,,,,,,,,,,,
2012,3,Athletico-PR,18,10,10,,,,,,,,,,,
2012,8,Atletico-MG,15,12,11,,,,,,,,,,,
2012,12,Bahia,12,12,14,,,,,,,,,,,
2012,4,Botafogo,17,10,11,,,,,,,,,,,
2012,10,Corinthians,11,17,10,,,,,,,,,,,
2012,11,Coritiba,12,12,14,,,,,,,,,,,
2012,14,Criciuma,13,7,18,,,,,,,,,,,
2012,1,Cruzeiro,23,7,8,,,,,,,,,,,
2012,16,Flamengo,12,13,13,,,,,,,,,,,
2012,15,Fluminense,12,10,16,,,,,,,,,,,
2012,6,Goias,16,11,11,,,,,,,,,,,
2012,2,Gremio,18,11,9,,,,,,,,,,,
2012,13,Internacional,11,15,12,,,,,,,,,,,
2012,20,Nautico,5,5,28,,,,,,,,,,,
2012,19,Ponte Preta,9,10,19,,,,,,,,,,,
2012,17,Portuguesa,12,12,14,,,,,,,,,,,
2012,7,Santos,15,12,11,,,,,,,,,,,
2012,9,Sao Paulo,14,8,16,,,,,,,,,,,
2012,18,Vasco,11,11,16,,,,,,,,,,,
2012,5,Vitoria,16,11,11,,,,,,,,,,,
2011,19,Atletico-GO,7,9,22,,,,,,,,,,,
2011,2,Atletico-MG,20,12,6,,,,,,,,,,,
2011,15,Bahia,11,14,13,,,,,,,,,,,
2011,7,Botafogo,15,10,13,,,,,,,,,,,
2011,6,Corinthians,15,12,11,,,,,,,,,,,
2011,13,Coritiba,14,6,18,,,,,,,,,,,
2011,9,Cruzeiro,15,7,16,,,,,,,,,,,
2011,20,Figueirense,7,9,22,,,,,,,,,,,
2011,11,Flamengo,12,14,12,,,,,,,,,,,
2011,1,Fluminense,22,11,5,,,,,,,,,,,
2011,3,Gremio,20,11,7,,,,,,,,,,,
2011,10,Internacional,13,13,12,,,,,,,,,,,
2011,12,Nautico,14,7,17,,,,,,,,,,,
2011,18,Palmeiras,9,7,22,,,,,,,,,,,
2011,14,Ponte Preta,12,12,14,,,,,,,,,,,
2011,16,Portuguesa,10,15,13,,,,,,,,,,,
2011,8,Santos,13,14,11,,,,,,,,,,,
2011,4,Sao Paulo,20,6,12,,,,,,,,,,,
2011,17,Sport,10,11,17,,,,,,,,,,,
2011,5,Vasco,16,10,12,,,,,,,,,,,
